# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	7177
#@/user_id	c5dd1731-b25f-4cc2-84c6-bf1978ff09b8
a 	啊	c=3 d=0.0209629 t=7177
ding 	定	c=2 d=2.5544e-10 t=7177
ding 	頂	c=1 d=2.56216e-10 t=7177
ding guan ci 	定冠詞	c=3 d=1.37e-14 t=7177
ding shi 	定時	c=2 d=1.81642e-14 t=7177
ding yi 	定義	c=4 d=6.84707e-07 t=7177
diu gong 	丟工	c=1 d=0.00970611 t=7177
dong 	動	c=1 d=1.52352e-12 t=7177
dong 	懂	c=1 d=2.18333e-10 t=7177
dong 	東	c=3 d=2.83967 t=7177
dong 	董	c=1 d=2.21633e-10 t=7177
dong bei 	東北	c=3 d=0.0931386 t=7177
dong dong 	東東	c=1 d=0.119433 t=7177
dong hua 	動畫	c=9 d=0.0187188 t=7177
dong tai 	動態	c=2 d=2.66277e-12 t=7177
dong wu 	動物	c=1 d=1.80025e-05 t=7177
dong xi 	東西	c=2 d=7.59831e-05 t=7177
dong yuan 	動員	c=1 d=2.10859e-12 t=7177
dong zhi 	冬至	c=2 d=0.00570256 t=7177
dong zuo 	動作	c=1 d=2.88785e-06 t=7177
dou 	都	c=20 d=0.000734072 t=7177
dou ban 	豆瓣	c=10 d=0.0184688 t=7177
dou shi 	都是	c=9 d=0.130464 t=7177
du 	毒	c=1 d=3.86873e-05 t=7177
du 	獨	c=1 d=0.0155297 t=7177
du 	讀	c=13 d=0.0157963 t=7177
du bao 	讀報	c=1 d=1.11185e-12 t=7177
du cai 	獨裁	c=1 d=0.00162866 t=7177
du cai zhe 	獨裁者	c=2 d=0.0150986 t=7177
du guo 	度過	c=1 d=9.93288e-10 t=7177
du li 	獨立	c=1 d=3.20974e-14 t=7177
du pin 	毒品	c=2 d=4.5325e-05 t=7177
du qu 	讀取	c=4 d=2.65987e-09 t=7177
du shu 	讀書	c=2 d=8.95083e-12 t=7177
du yi wu er 	獨一無二	c=1 d=0.00143728 t=7177
duan 	端	c=1 d=1.06585e-15 t=7177
duan duan de 	短短的	c=1 d=2.46968e-15 t=7177
duan duan de re 	短短的熱	c=1 d=2.25641e-15 t=7177
duan kou 	端口	c=2 d=2.27724e-14 t=7177
dui 	堆	c=1 d=1.43431e-08 t=7177
